time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
1.790028,0.000245,0.000245,-0.000355,-0.000400
1.795028,0.000243,0.000242,-0.000381,-0.000439
1.800028,0.000241,0.000240,-0.000397,-0.000456
1.805028,0.000239,0.000238,-0.000404,-0.000469
1.810029,0.000237,0.000236,-0.000404,-0.000472
1.815029,0.000235,0.000233,-0.000399,-0.000468
1.820029,0.000233,0.000231,-0.000390,-0.000463
1.825029,0.000231,0.000228,-0.000377,-0.000451
1.830029,0.000230,0.000226,-0.000358,-0.000439
1.835030,0.000228,0.000224,-0.000334,-0.000413
1.840030,0.000226,0.000222,-0.000306,-0.000392
1.845030,0.000225,0.000220,-0.000278,-0.000358
1.850030,0.000223,0.000219,-0.000250,-0.000335
1.855031,0.000222,0.000217,-0.000225,-0.000304
1.860031,0.000221,0.000215,-0.000200,-0.000284
1.865031,0.000220,0.000214,-0.000175,-0.000255
1.870031,0.000220,0.000213,-0.000150,-0.000235
1.875032,0.000219,0.000211,-0.000123,-0.000205
1.880032,0.000218,0.000211,-0.000092,-0.000184
1.885032,0.000218,0.000210,-0.000055,-0.000143
1.890032,0.000218,0.000209,-0.000010,-0.000109
1.895033,0.000218,0.000209,0.000037,-0.000053
1.900033,0.000218,0.000208,0.000081,-0.000016
1.905033,0.000219,0.000208,0.000118,0.000033
1.910033,0.000219,0.000209,0.000146,0.000059
1.915033,0.000220,0.000209,0.000165,0.000087
1.920034,0.000221,0.000209,0.000175,0.000098
1.925034,0.000222,0.000210,0.000174,0.000104
1.930034,0.000223,0.000210,0.000162,0.000099
1.935034,0.000224,0.000211,0.000141,0.000077
1.940035,0.000224,0.000211,0.000117,0.000058
1.945035,0.000225,0.000211,0.000096,0.000028
1.950035,0.000225,0.000212,0.000084,0.000013
1.955035,0.000226,0.000212,0.000089,0.000007
1.960036,0.000226,0.000212,0.000113,0.000019
1.965036,0.000227,0.000212,0.000153,0.000058
1.970036,0.000228,0.000212,0.000204,0.000095
1.975036,0.000229,0.000213,0.000260,0.000161
1.980036,0.000230,0.000213,0.000316,0.000207
1.985037,0.000232,0.000215,0.000364,0.000272
1.990037,0.000234,0.000216,0.000398,0.000306
1.995037,0.000236,0.000218,0.000414,0.000337
2.000037,0.000238,0.000219,0.000407,0.000341
2.005037,0.000240,0.000221,0.000376,0.000318
2.010037,0.000242,0.000223,0.000318,0.000282
2.015036,0.000243,0.000224,0.000237,0.000196
2.020036,0.000244,0.000225,0.000141,0.000124
2.025036,0.000244,0.000225,0.000031,-0.000002
